bookID,title,series,primary_author,all_authors,average_rating,ratings_count,text_reviews_count,isbn,isbn13,num_pages,publication_date,publisher,language,book_age,rating_popularity_score
1,Harry Potter and the Half-Blood Prince,Harry Potter  #6,J.K. Rowling,"['J.K. Rowling', 'Mary GrandPré']",4.57,2095690,27591,0439785960,9780439785969,652,2006-09-16,Scholastic,English,19,66.51815007680193
2,Harry Potter and the Order of the Phoenix,Harry Potter  #5,J.K. Rowling,"['J.K. Rowling', 'Mary GrandPré']",4.49,2153167,29221,0439358078,9780439358071,870,2004-09-01,Scholastic,English,21,65.47520410976769
4,Harry Potter and the Chamber of Secrets,Harry Potter  #2,J.K. Rowling,['J.K. Rowling'],4.42,6333,244,0439554896,9780439554893,352,2003-11-01,Scholastic,English,22,38.69129754377575
8,Harry Potter Boxed Set  Books 1-5,Harry Potter  #1-5,J.K. Rowling,"['J.K. Rowling', 'Mary GrandPré']",4.78,41428,164,0439682584,9780439682589,2690,2004-09-13,Scholastic,English,21,50.8196999809172
10,Harry Potter Collection,Harry Potter  #1-6,J.K. Rowling,['J.K. Rowling'],4.73,28242,808,0439827604,9780439827607,3342,2005-09-12,Scholastic,English,20,48.47588234336765
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Hitchhiker's Guide to the Galaxy  #1-5,Douglas Adams,['Douglas Adams'],4.38,3628,254,0517226952,9780517226957,815,2005-11-01,Gramercy,English,20,35.901600343593245
13,The Ultimate Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy  #1-5,Douglas Adams,['Douglas Adams'],4.38,249558,4080,0345453743,9780345453747,815,2002-04-30,Del Rey,English,23,54.43223379953956
14,The Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy  #1,Douglas Adams,['Douglas Adams'],4.22,4930,460,1400052920,9781400052929,215,2004-08-03,Crown,English,21,35.88391370386581
16,The Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy  #1,Douglas Adams,"['Douglas Adams', 'Stephen Fry']",4.22,1266,253,0739322206,9780739322208,6,2005-03-23,Random House Audio,English,20,30.149398300955202
18,The Ultimate Hitchhiker's Guide,Hitchhiker's Guide to the Galaxy  #1-5,Douglas Adams,['Douglas Adams'],4.38,2877,195,0517149257,9780517149256,815,1996-01-17,Wings,English,29,34.88604688701923
22,Bill Bryson's African Diary,,Bill Bryson,['Bill Bryson'],3.44,7270,499,0767915062,9780767915069,55,2002-12-03,Broadway,English,23,30.587272947516198
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,,Bill Bryson,['Bill Bryson'],3.87,2088,131,0767910435,9780767910439,256,2004-09-14,Broadway,English,21,29.58398574722391
24,In a Sunburned Country,,Bill Bryson,['Bill Bryson'],4.07,72451,4245,0767903862,9780767903868,335,2001-05-15,Broadway,English,24,45.546065779134125
26,The Lost Continent: Travels in Small Town America,,Bill Bryson,['Bill Bryson'],3.83,45712,2257,0060920084,9780060920081,299,1990-08-28,William Morrow Paperbacks,English,35,41.09642854124506
27,Neither Here nor There: Travels in Europe,,Bill Bryson,['Bill Bryson'],3.86,48701,2238,0380713802,9780380713806,254,1993-03-28,William Morrow Paperbacks,English,32,41.662814951318424
28,Notes from a Small Island,,Bill Bryson,['Bill Bryson'],3.91,80609,3301,0380727501,9780380727506,324,1997-05-28,William Morrow Paperbacks,English,28,44.172747941985605
29,The Mother Tongue: English and How It Got That Way,,Bill Bryson,['Bill Bryson'],3.93,28489,2085,0380715430,9780380715435,270,1991-09-28,William Morrow Paperbacks,English,34,40.31122212004338
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,,J.R.R. Tolkien,['J.R.R. Tolkien'],4.59,101233,1550,0345538374,9780345538376,1728,2012-09-25,Ballantine,English,13,52.90062186035706
31,The Lord of the Rings,The Lord of the Rings  #1-3,J.R.R. Tolkien,['J.R.R. Tolkien'],4.5,1710,91,0618517650,9780618517657,1184,2004-10-21,Houghton Mifflin Harcourt,English,21,33.50174973251487
34,The Fellowship of the Ring,The Lord of the Rings  #1,J.R.R. Tolkien,['J.R.R. Tolkien'],4.36,2128944,13670,0618346252,9780618346257,398,2003-09-05,Houghton Mifflin Harcourt,English,22,63.530157798802854
36,The Lord of the Rings: Weapons and Warfare,,Chris   Smith,"['Chris   Smith', 'Christopher  Lee', 'Richard Taylor']",4.53,19822,46,0618391002,9780618391004,218,2003-11-05,Houghton Mifflin Harcourt,English,22,44.822529658866664
37,The Lord of the Rings: Complete Visual Companion,,Jude Fisher,['Jude Fisher'],4.5,359,6,0618510826,9780618510825,224,2004-11-15,Houghton Mifflin Harcourt,English,21,26.487468141525703
50,Hatchet,Brian's Saga  #1,Gary Paulsen,['Gary Paulsen'],3.72,270244,12017,0689840926,9780689840920,208,2000-04-01,Atheneum Books For Young Readers: Richard Jackson,English,25,46.52635335026684
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",,Donna Ickes,"['Donna Ickes', 'Edward Sciranko', 'Keith Vasconcelles']",4.0,36,2,1557344493,9781557344496,48,1994-08-28,Teacher Created Resources,English,31,14.443671650576897
